Real Estate,Academia,Brazil,Urbanization,,Population Growth,,Role of Business,,Climate Change,,Design,,North America,,Latin America,,Africa,,Public & Institutional Investors,,Banking & Capital Markets,,Private Fund Managers,
International Monetary System,Other,Netherlands,Systemic Financial Risk,,Fiscal Crises,,Institutional Governance Systems,,Trade,,,,North America,,China,,China,,Banking & Capital Markets,,Public & Institutional Investors,,,
India,Business,India,Anti-Corruption,,Values,,Institutional Governance Systems,,Education,,Emerging Technologies,,Latin America,,Africa,,South-East Asia,,Banking & Capital Markets,,"Media, Entertainment & Information",,Telecom,
Intellectual Property System,International Organization,Switzerland,Emerging Technologies,"New technologies are changing the way intellectual property rights are defined, exercised, enforced and infringed.   They also pose questions about the legal and policy foundations of the existing system.",Innovation,"Questions concerning IP policy, law and administration have typically been dealt with separately from innovation policy, and policymakers have struggled to find systematic linkages between the two domains, as conceptually and practically they must be closely interlinked.  The need for positive synergies and cross fertilization is critical.",Social Innovation,"The role of the intellectual property system is increasingly construed in a broader sense, with the ways in which rights are both defined and exercised - such as through creative commons, public private partnerships and humanitarian licensing options - having significant implications for social innovation initiatives",Climate Change,"Innovation and access to green technologies, and the role of the IP system in advancing these goals, have been critical issues in multilateral efforts to conclude a comprehensive climate deal.",Human Rights,"The impact of the IP system has arisen across a wide spectrum of human rights, including health, food, education, benefit from scientific progress, and recognition of one's own innovative activity.  Positive synergies are typically overlooked, and the time is ripe for a more systematic account of how the two systems of law and the values they embody can  work together more productively.",South-East Asia,,,,,,Health,,Renewable Energy,,"Media, Entertainment & Information",
Migration,NGO,Nigeria,Skills & Talent Mobility,The global market for migration is linked to search for skills and talent mobility to power skills-intensive economies,Population Growth,Population growth drives migration in situations of sluggish economic growth and youth unemployment,Poverty & Economic Development,Emigration dynamics at source countries are linked to poverty and development,Employment & Social Protection,The issues of employment and social protection are topical policy aspects for migrant workers in destination countries,Ageing,The ageing populatiions in rich countries is a determinant for migrant labour demand to fill the labour supply deficit and boost productivity,Africa,"Africa is a continent that encompasses most of the issues identified above - poverty, rapid population growth and urbanization, employment deficit,etc that impact on migration dynmics",Europe & Central Asia,"Migration flows to, and within Europe and Central Asia are increasingly an important feature of global migration",China,Internal migration in China is massive and deserves more attention in the discourse of global migration dynamics,Health,,Public & Institutional Investors,,Banking & Capital Markets,
Fiscal Crises,Academia,Singapore,Future of Government,,Employment & Social Protection,,Ageing,,Climate Change,,Systemic Financial Risk,,Europe & Central Asia,,North America,,Japan,,Health,,Banking & Capital Markets,,Insurance & Asset Management,
Real Estate,Academia,Australia,Urbanization,,Climate Change,,,,,,,,South-East Asia,,China,,India,,Public & Institutional Investors,,Banking & Capital Markets,,Private Fund Managers,
Social Innovation,NGO,United States of America,Innovation,social innovation and innovation are in pursuit of the same goals... better ways to improve how we work together as a world,Employment & Social Protection,social innovation is closely connected to creating work opportunities for underemployed communities and increasing social life,Future of Government,,Poverty & Economic Development,,Food Security,,North America,,Latin America,,Africa,,Public & Institutional Investors,,Banking & Capital Markets,,Private Fund Managers,
Skills & Talent Mobility,Other,South Africa,Competitiveness,without skills you can forget about competitiveness for most developing countries and most industrialized countries will need skills to continue competing effectively,Emerging Multinationals,,Education,,Migration,,Role of Business,,India,,Africa,,North America,,,this doesnt make sense for my council  they are all desperately short of skills and this will differ for each country and sector,,,,
Skills & Talent Mobility,Other,South Africa,Competitiveness,,Migration,,Emerging Multinationals,,Education,,Role of Business,,,,,,,,,,,,,
International Legal System,Academia,United States of America,Future of Government,,Human Rights,,Values,,Institutional Governance Systems,,Weapons of Mass Destruction,,,,,,,,,,,,,
Innovation,Academia,United States of America,Role of Business,Business accounts for most innovation,Intellectual Property System,Relevant to the rate of innovation,Fiscal Crises,Relevant to rate of innovation,Urbanization,Relevant to innovation,Emerging Technologies,Relevant to innovation,North America,,China,,India,,Banking & Capital Markets,,Insurance & Asset Management,,Private Fund Managers,
Next Generation,NGO,Cambodia,Ageing,the next generation is part of the solution when it comes to dealing with ageing issues.,Social Innovation,next generation leaders are key drivers of social innovation.,Future of Government,defining the future should be done with the next generation - so that they can contribute to defining expectations and shaping solutions,Population Growth,,Women’s Empowerment,empowerment of communities is essential across generations and within generations.  women's empowerment relates to youth empowerment.,Middle East & North Africa,,Africa,,China,,Health,We need to think of shaping and cultivating the next generation from a health perspective.  how do we grow a healthy next generation?,"Media, Entertainment & Information",a core part of what defines GenY - drivers of social media adoption,Renewable Energy,key to a sustainable future
Skills & Talent Mobility,Business,United States of America,Migration,,Employment & Social Protection,,Education,,Population Growth,,Women’s Empowerment,,Europe & Central Asia,,Middle East & North Africa,,South-East Asia,,"Aviation, Travel & Tourism",,Health,,Logistics & Supply Chain,
Competitiveness,Other,Colombia,Education,,Informed Societies,,Trade,,Innovation,,Poverty & Economic Development,,China,,Latin America,,India,,Logistics & Supply Chain,,Banking & Capital Markets,,Telecom,
Next Generation,Business,United States of America,Education,Education is the most critical issue facing the current and future generations,Urbanization,cities are where the majority of the worlds population lives,Innovation,We desperately need to focus innovation on the critical agenda items facing the next generation and the education and social issues facing them,Poverty & Economic Development,"poverty, jobs and economic development are linked to the needs of the next generation, the education and social issues facing cities and the world",Competitiveness,All the key issues identified are about competitiveness and social good,Middle East & North Africa,this is the part of the world where the needs and priorities are greatest,Africa,Africa is the part of the world that ought to be of serious concern to the rest of the world,Latin America,I think the extensive poverty coupled with the wide swing in prosperty and growth make latin america a huge challenge and opportunity,Health,health care is vitally important to the next generation and linked to growth and education,Public & Institutional Investors,Public sector investment is critical to address the key challenges facing the next generation,Telecom,telecom and access to informatoin/technology is critical to solving the gap between haves and have not's so important to the agenda of the next generation
Systemic Financial Risk,Government,United Kingdom of Great Britain and Northern Ireland,International Monetary System,Lack of coordination of monetary policy worldwide threatens financial stability,Fiscal Crises,Sovereign debt crises often follow financial crises and the build up of fiscal deficits can hamper the ability of governments to control financial crises.,Catastrophic Risks,"Financial systems bear many of the hallmarks of other complex systems in which there is seld sustaining stability within certain limits but cliff edge effects outside those like epidemics, ecological systems etc .",Competitiveness,The pursuit of competitiveness can lead to arbitrage and a race to the bottom. Finance is one example of this and may learn ( and give) lessons for others,Institutional Governance Systems,The best way of configuring regulation of finance and of economic policy more widely is one of the main issues ot emerge from the recent financial crisis.,North America,The US is the centre of the global financial centre,Europe & Central Asia,The EU is having to tackle the question of how to ocmbine free trade with proper financial regulation in its internal market,Japan,Japan's economic stasis of the last 20 years following the financial crisis of the early 90s has lessons for the whole world.,Banking & Capital Markets,They are at the heart of the financial system.,Real Estate,Nearly all systemic financial crises result from excessive lending for commercial property,Insurance & Asset Management,Their investment preferences drive the financial system
Food Security,Business,United States of America,Water Security,"My first two councils, water security and climate change, impact the world's ability to produce foodstuffs.  Arable land, water and a competent workforce are the first requirements of food production.  Therefore water security and climate change are highly relevant to our council.",Climate Change,See comments above under water security.,Trade,"If the world can meet the challenge of sufficient global production, then the next challenge is proper and fair distribution of the food to those that can afford the fair market price of food. (For those that cannot afford the fair market price see humanitarian assistance under point 5 below).  In order to have fair and proper distribution the world needs trade, whether it be national, regional or international trade to distribute foodstuffs.  Trade requires infrastructure, rule of law, etc.  Without trade everyone is forced to be a food producer, something that is not viable.",Urbanization,"I include urbanization as part of fair and proper distribution of foodstuffs because of the remarkable change in population between rural and urban areas.  The UN epects rural population to shrink, not only in percentage terms but in absolute numbers over the next 40 years.  As urban population grows from 3.5 billion to 6.5 billion in the next 40 years the challenge of food trade and distribution to the cities needs to be carefully understood.",Humanitarian Assistance,"Regardless of how successful the world is at reducing poverty, I am under no illusion that we can eliminate poverty.  Therefore some element of humanitarian assistance needs to be part of food security.  How to be best prepared to meet the needs of the food insecure has to be part of the mandate of the GACC Food Security.",Africa,"Africa is the continent where food security has the biggest challenge, both in terms of production and distribution of foodstuffs",,,,,,,,,,
Humanitarian Assistance,Business,Kuwait,Poverty & Economic Development,"Disaster affected areas frequently lack resources and development to allow for prevention, response and recovery.",Skills & Talent Mobility,"Due to lack of technical skills, disaster prevention and recovery are hampered.",Role of Business,Business is a critical stakeholder in disaster management.,Population Growth,Catastrophic disasters may be more catastrophic in areas of the world with high population growth and subsequent limited resources.,Urbanization,Disasters frequently affect high density population areas.,South-East Asia,Frequently occuring natural disasters.,Latin America,Frequently occuring disasters.,Africa,Frequently occuring disasters.,Public & Institutional Investors,,Logistics & Supply Chain,,,
Trade,Business,Belgium,Poverty & Economic Development,,Systemic Financial Risk,,Competitiveness,,Geopolitical Risk,,Intellectual Property System,,China,,Latin America,,India,,Logistics & Supply Chain,,Consumer,,Banking & Capital Markets,
Health,Academia,United States of America,Institutional Governance Systems,"This will help situate the global governance of health within larger issues within global governance faced in areas such as finance, trade and climate change.",Emerging Multinationals,This will help draw out the ways in which the private sector can be involved in the health industry to help improve global public health.,Poverty & Economic Development,"Health is a crucial component of economic growth and poverty reduction ('health is wealth'), as well as significantly affected by these two factors.",Education,Health and education are closely intertwined and interactions would help overcome the silos that each of these areas usually falls into.,Chronic Diseases & Well-being,Chronic diseases are arguably the biggest health problem on the horizon and there is still no global plan or strategy to address them effectively.,China,China's importance in global health will only grow and needs to be looked at carefully.,Africa,Sub-Saharan Africa is still (arguably) the heart of many of the major public health problems.,India,"India still has the largest number of undernourished people and severe health challenges, as well as an emerging role in global health governance.","Media, Entertainment & Information","The media plays a huge role in translating health messages for the public and shaping health behaviours. Media companies, such as MTV, can be a powerful private sector partner.",Logistics & Supply Chain,"A big challenge in health is how to deliver drugs, supplies and even people in rural and remote areas.",Consumer,All of us in the world are ultimately consumers of healthcare- what models can be used from the business world to improve the healthcare experience.
Africa,Business,Ghana,Education,"Eduction is Absolutely the sure and sustainable way for Africa to break out of it's current state, hence in my mind the 2, Africa and Education are tied to ensure advancement of the continent.",Emerging Multinationals,,Role of Business,,Next Generation,,Humanitarian Assistance,,Middle East & North Africa,,South-East Asia,,India,,Health,,"Aviation, Travel & Tourism",,Mining & Metals,
Organized Crime,Academia,United States of America,Anti-Corruption,Organized crime and corruption are almost always linked,Illicit Trade,There are many common points as much illicit trade is carried our by organized crime.,Terrorism,There are increasingly linkages with terrorism as they use organized crime to finance and facilitate their activities.,Migration,"Much  migration for sexual exploitation, labor, adoption and organ trafficking has been carried out by organized crime.",Fragile States,Organized crime is increasingly based and operating in fragile states.,Latin America,"The problems of organized crime in Mexico, Colombia and Central America are particularly acute.",Europe & Central Asia,"There are significant problems of drug flows, illegal migration and money laundering in this region. Many diverse groups operate in this area.",Africa,"There is an increasing role of organized crime not just in Nigeria, but all of west Africa, east Africa and South.","Aviation, Travel & Tourism",Aviation allows goods and people to be moved. There is very significant amounts of money laundering in the hotel industry. There is also much sex trafficking linked to this.,Banking & Capital Markets,There is concern that organized crime may be manipulating financial markets. It has infiltrated bank boards in some countries.,Mining & Metals,Organized crime is involved in the movement and sale of precious metals and gems. It also has been trying to buy mines in different parts of the world.
Consumer,Academia,United Kingdom of Great Britain and Northern Ireland,Climate Change,Will affect consumption patterns,Catastrophic Risks,Could affect consumption patterns,,,,,,,China,Will become a driver for consumption,,,,,Consumer,That is us,,,,
Catastrophic Risks,Business,United States of America,Fiscal Crises,This will impact all aspects of catastrophic risk :  - preparedness/mitigation efforts  - inter/intra-governmental coordination  - response   - finance,Urbanization,"amplifies the risk due to economic and human concentration often without any concern for cat risk events, even if indirect in the supply chain for other goods",Institutional Governance Systems,the governance system for basic risk management needs to be linked to potential events,Food Security,and water security...the LT impacts on both availability and pricing,Climate Change,is climate change exacerbating the frequency/severity of cat events,China,"scale of economic concentration and output, as well as volume of humanity",Latin America,Growing urbanization and economic importance,Africa,"Immature systems for managing risk, general instability of institutions and importance of resource base",Logistics & Supply Chain,globalization and supply chain optimization have amplified susceptibility to significant events,Health,delivery and availability,Mining & Metals,...and energy - linkage btw global economic growth and vulnerable areas of production and consumption
Illicit Trade,Business,France,Organized Crime,,Trade,,Anti-Corruption,,Internet Security,,Intellectual Property System,,Africa,,China,,Korea,,Logistics & Supply Chain,,Consumer,,Health,
Africa,Other,South Africa,Poverty & Economic Development,it should be Africa's top priority,Conflict Prevention,africa's second priority,Migration,we need to get a common value on migration inside and outside of africa,Climate Change,where is africa headed on climate change -- and what can we do about it,Education,clearly the place to start in Africa -- just eliminating illiteracy would move the continent a giant leap.,China,they already own a chunk of Africa ...,India,it is the closest thing to Africa for learning experiences,North America,money money money ... investment opportunities,"Media, Entertainment & Information",africa needs a better Press desperately,Mining & Metals,africa's greatest potential is in mining and metals,Telecom,telecoms could lift africa out of poverty
Telecom,Other,People's Republic of China,Ocean Governance,,,,,,,,,,,,,,,,,,,,,
Weapons of Mass Destruction,NGO,United States of America,Geopolitical Risk,"Many of today's areas of highest geopolitical tension (the Korean Peninsula, the Persian Gulf) are affected by the possession of or attempt to develop weapons of mass destruction by those actors most closely involved",Energy Security,"Nuclear weapons (often considered, rightly or wrongly, to be the most dangerous of WMDs) are intimately intertwined in their existence and proliferation with the world's currently imperfectly secured nuclear fuel cycle",Catastrophic Risks,"By their sheer nature, weapons of mass destruction pose a risk of catastrophic proportions to society and humanity. Furthermore, like many other catastrophic risks, individuals (including risk managers) seem not to realize how grave the threat posed by WMDs really is. The risk of an unravelling in the Korean Peninsula, for example, is vastly underestimated at present",Emerging Technologies,"Biological and chemical weapons are currently undergoing a phase of technological acceleration that needs to be better understood. Challenges will include cost and size reductions for illegal producers, as well as underpreparation by policymakers",Terrorism,"Terrorists may seek to use WMDs to increase the destructive effect of their attacks. This risk is, however, reduced by their limited operational means and, at times, preference for more grounded attacks",Korea,,India,,China,,Mining & Metals,Because certain WMDs (nuclear in particular) depend for their development on the extraction and commerce (licit or illicit) of uranium,Logistics & Supply Chain,Because securing international transport in goods is perhaps the most efficient way to preventing the cross-border proliferation of WMDs to non-state actors,Insurance & Asset Management,"Because some, limited, WMD attacks may eventually be covered by certain insurance products, as terrorism-related losses have begun to in recent years"
Trade,NGO,South Africa,International Monetary System,,Climate Change,,Poverty & Economic Development,,Food Security,,Institutional Governance Systems,,China,,North America,,Europe & Central Asia,,Automotive,,Banking & Capital Markets,,Logistics & Supply Chain,
Latin America,Academia,Colombia,Poverty & Economic Development,,Competitiveness,,Emerging Multinationals,,Education,,Organized Crime,,North America,,China,,India,,Mining & Metals,,Renewable Energy,,Public & Institutional Investors,
Emerging Multinationals,Business,People's Republic of China,Competitiveness,,Innovation,,Skills & Talent Mobility,,Emerging Technologies,,,,China,,North America,,Europe & Central Asia,,Consumer,,Health,,"Media, Entertainment & Information",
Education,NGO,Paraguay,Competitiveness,,Employment & Social Protection,,Food Security,,Innovation,,Poverty & Economic Development,,Africa,,Middle East & North Africa,,Latin America,,Health,,Renewable Energy,,Consumer,
Catastrophic Risks,Academia,United States of America,Climate Change,Climate Change is an example of a phenomenon possessing a small but growing probability of catastrophic consequences.  My Council should seek to prevent such consequences.,Weapons of Mass Destruction,"This is another example of a phenomenon with catastrophic consequences, with obvious implications for my Council",Water Security,"Water scarcity poses major risks for regional and global conflict, and is exacerbated by the projected impacts of climate change.",Systemic Financial Risk,"Instability, chaos and breakdown of the global financial system poses catastrophic risks of conflict and war, and hinders the prevention of the other catastrophic risks listed.",Energy Security,,China,China and India need to be major partners in identifying and mitigating catastrophic risks.,Middle East & North Africa,This area needs to pay a pivotal role in preventing the risk of nuclear weapons proliferation.,India,,Banking & Capital Markets,Plays a key role in helping to eliminate global systemic financial risk,Renewable Energy,"The accelerated development of renewable energy is a critical factor in addressing energy, water and food security.",Telecom,"could play a key role in the deployment of renewable energy to the two billion poor people, mainly  in South Asia and sub-Saharan Africa, that lack access to modern energy."
Urbanization,Government,South Africa,Migration,,Future of Government,,Population Growth,,Water Security,,Climate Change,,China,,India,,Latin America,,Real Estate,,Public & Institutional Investors,,Renewable Energy,
Mining & Metals,Business,France,Fragile States,Mining is often a forerunner ininvesting in fragile states and the industry faces specific challenges i nitws activities in these states.,Poverty & Economic Development,Mining offers one of the best opportunities to reduce poverty in developing countries,Geopolitical Risk,"Geopolitical risks may not be very important to the industry's prospects, but governments act as if they were.",Institutional Governance Systems,"Good governance is crucial to the outcomes for the ming industry, both in terms of commercial success and impact on development",Anti-Corruption,Mining offers considerable scope for corruption and is one of the major problems for the industry's  performance and image,Africa,Mining offers the best opportunity for economic takeoff in Africa,China,Developments in China determines what happens to mineral markets,India,India is the future major determinant for mineral markets,Banking & Capital Markets,,Logistics & Supply Chain,,Public & Institutional Investors,
Poverty & Economic Development,NGO,United States of America,Food Security,,Fragile States,,Population Growth,,Chronic Diseases & Well-being,,Education,,Africa,,India,,South-East Asia,,Mining & Metals,,Banking & Capital Markets,,Health,
Population Growth,Academia,United States of America,Women’s Empowerment,Women are at the center of population growth and its consequences,Urbanization,Population growth is largely urban,Climate Change,Population growth is a major determinant of climate change,Poverty & Economic Development,Population growth is a hallmark of poverty and inseparable from it,Education,A key element in population growth and its future,Africa,,India,,South-East Asia,,Health,,Banking & Capital Markets,,Renewable Energy,
Terrorism,Academia,Switzerland,Human Rights,Counterterrorism measures often encroach upon human rights and creates a potential legitimacy/effectiveness deficit of such measures,Organized Crime,Many of the issues inherent in fighting international terrorism are also relevant to fighting organized crime,Weapons of Mass Destruction,The risk of terrorist groups acquiring WMD is arguably one of the greatest riskes to be averted,Institutional Governance Systems,The fight against international terrorism must take place in the framework of an institutional governance system which is able to cope with such chalenges on a global scale,International Legal System,The international legal system can provide useful tool to effectively fight international terrorism,Middle East & North Africa,,Europe & Central Asia,,North America,,"Aviation, Travel & Tourism",,Banking & Capital Markets,,"Media, Entertainment & Information",
Middle East & North Africa,Academia,United Arab Emirates,Geopolitical Risk,,Competitiveness,,Institutional Governance Systems,,Fragile States,,Conflict Prevention,,South-East Asia,,Africa,,China,,Mining & Metals,,"Aviation, Travel & Tourism",,Logistics & Supply Chain,
Values,International Organization,United States of America,Conflict Prevention,Most conflicts involve parties with religious/values related identities. The focus on values as a means of both conflict prevention and resolution offers the most potent tool in these regards pidentitesareValues rooted in religious traditions,Human Rights,The condition of Human Rights reflects society's values. It also requires an understanding of values in differing cultural contexts in order to address human rights effectively.,Education,Values need to be central to Education if the latter is to contribute to a healthy society.,Climate Change,Focussing on values is essential if this most acute contemporary challenge to our globe and humanity is to be addressed effectively,Next Generation,Values provide the connection to the past and guidance for the future,Middle East & North Africa,Conflicts within MENA and especially betweeen countries within it and the West are profoundly related to values - and misconceptions about these,North America,"North American tensions with the ""Muslim world"", the "" third world"" and elsewhere are profoundly related to values - and misconceptions about these",Europe & Central Asia,These areas are connected to the two aforementioned with the relevant interlinkage,"Media, Entertainment & Information",These are essential vehicles that promote values whether intentionally or not. What values do/could/should they promote ?,Health,Contemporary technological advancements in health care raise critical questions regarding values and ethics,Banking & Capital Markets,The essential financial wheels of society will always raise critical questions regarding values and ethics
Organized Crime,NGO,Romania,Role of Business,"The current business and financial environment is used by organized criminals in order to launder money, create transnational corporate structures and fuel corruption at state levels.",Informed Societies,,Anti-Corruption,,Fragile States,,Internet Security,,Africa,,Europe & Central Asia,,Latin America,,Mining & Metals,,Private Fund Managers,,Banking & Capital Markets,
Automotive,Business,India,Urbanization,"With growing urbanisation across the world, and in particular with the huge increase in urban population expected in developing markets, there is going to be an enormous pressure on urban infrastructure - of which mobility is an important part. The conventional concepts of mobility needs to change for urban contexts; we need to accelerate systemic multi-modal transportation and non-motorised transport, rather than the current focus on personal transportation.",Climate Change,"Vehicles account for a relatively large part of CO2 emissions globally. If a much more systemic approach is taken to mobility with a focus on multi-modal transportation and non-motorised transportation, it can help reduce CO2 emissions to a great extent.",Energy Security,"Vehicles form a large part of the energy, and in particular, oil consumption. With a move to less oil-hungry forms of transportation and alternative fuels, countries can secure their energy needs much more and their dependence on foreign energy can come down drastically.",Poverty & Economic Development,"Lack of physical mobility for poorer sections of society, can restrict their opportunities. A systemic transportation approach which is more equitable (ie. travel time is similar for all sections of society; travel cost is affordable for all sections of society) can result in much better opportunities for the poor. Less congestion in cities and shorter travel times can also dramatically improve the economic development of a particular city.",Role of Business,"Is it the role of the automotive industry to sell vehicles? Or is the role of the automotive industry to provide safe, equitable, accessible, convenient mobility with a low ecological and physical footprint?",India,"With 500 million additional people expected to move to urban centres by 2050, India's urban mobility infrastructure is woefully inadequate and will be one of the bottlenecks in developement.",Japan,Japan has one of the better systemic solutions to mobility. It is a dense country with multi-modal transportation options.,Latin America,,Logistics & Supply Chain,Better use of information technology can result in a much more efficient logistics.,Health,"Road accidents are one of the main causes of preventable injury and death. With a more systemic approach to transportation, accidents can come down dramatically.",Renewable Energy,
Values,Business,Brazil,Catastrophic Risks,"This issue has to be a priority for all councils, because without our planet there are no other issues. Discussions on global risks are extremely value driven as we figure out how to prioritize the planet, the common good & future generations ahead of our immediate self-interests.",Education,"Prioritizing values is fundamental for educating the next generation & in adult education or re-professionalization as we adapt to ever changing environments. What thinking & skill set do we prioritize and to what end, especially as we try to break away from baby-boom idealization of consumption as our core value?",Role of Business,"Trust in business and government is at an all-time low, largely because of an immense value gap. Without this trust through the prioritizing of values, we cannot govern and prosper.",Future of Government,See answer to business section.,Innovation,Innovations need to spring from our values and focus on doing good. I.e. today the pharma industry worries more about developing viagra than fighting infectious diseases. A value discussion needs to guide innovation.,Latin America,"This is where I could contribute most, being Brazilian.",North America,I've lived 10 yrs in the states.,Europe & Central Asia,I grew up in Germany & France.,Banking & Capital Markets,Need I explain why a discussion of values is fundamental here?,Public & Institutional Investors,Same as above.,Mining & Metals,These are the greatest polluters. A re-alignment with values is fundamental for sustainable business practices and the future of our planet.
Food Security,International Organization,Italy,Poverty & Economic Development,,Climate Change,,Women’s Empowerment,,Water Security,,Innovation,,Africa,,South-East Asia,,Latin America,,Health,,Renewable Energy,,Public & Institutional Investors,
Illicit Trade,NGO,United States of America,Organized Crime,,Fragile States,,Terrorism,,Anti-Corruption,,International Legal System,,Africa,,China,,Europe & Central Asia,,Logistics & Supply Chain,,Insurance & Asset Management,,"Aviation, Travel & Tourism",
Real Estate,Academia,United States of America,Urbanization,,Institutional Governance Systems,,Role of Business,,,,,,North America,,China,,Europe & Central Asia,,Banking & Capital Markets,,Renewable Energy,,,
Innovation,Business,People's Republic of China,Emerging Technologies,,Education,Education is what makes US the most innovative.  Can other countries emulate?  Can they succeed in innovation without a first-class education system?,Next Generation,,Emerging Multinationals,,Skills & Talent Mobility,,North America,,China,,India,,Renewable Energy,,"Media, Entertainment & Information",,Consumer,
Ocean Governance,Government,New Zealand,Climate Change,Warming oceans impact on the abundance and distribution of living marine resources and more seevere weather systems are generated,Ecosystems & Biodiversity,"Marine and ocean ecosystems have been profoundly impacted by anthropogenic activities, especially over the past 50 years",Food Security,"A significant proportion of the global requirement for protein is provided by marine living resources. Most of the global fisheries that are commercially significant are over-fished, and require more effective management than has been achieved through existing international fisheries agreements.  Finding the balance between sustainable exploitation of fish stocks and appropriate conservation measures to ensure fish for future generations is a fundamental issue for my Council",Education,Better education about the importance of the oceans in our daily lives is an essential element of improving the state of our oceans,Geopolitical Risk,"The increase in sea level rise that will accompany a warming of the oceans will create a variety of geopolitical risk s - e.g. climate change refugees from Tuvalu, Maldives, etc; disputes over sovereignty as low-lying islands are submerged",,"I would rank Oceania as number one, because it is a good exemplar of many of the most important oceans issues globally.  I am disappointed that there is no inclusion of the South Pacific, nor of the Southern Ocean, which is probably the most important ocean in terms of climate change.",North America,"North America has an extended coastline, including Arctic waters, and many centres of excellence for research and evaluation.",South-East Asia,South-East Asia has the highest degree of marine biodiversity in the world's oceans and many artisanal fisheries on which millions of people rely for protein,Logistics & Supply Chain,Much of global trade is carried by sea,Renewable Energy,Shipping makes a significant contribution to global warming gases.  Reducing the carbon footprint of global shipping is highly desirable,"Aviation, Travel & Tourism",Cruise liners fand ferries form a significant proportion of global vessel traffic.
Food Security,Academia,People's Republic of China,Emerging Technologies,,Water Security,,Poverty & Economic Development,,Climate Change,,Trade,,Africa,,China,,India,,Consumer,,Renewable Energy,,Public & Institutional Investors,
Fragile States,International Organization,United States of America,Future of Government,"The functions of the state, and balance between state, market and civil society need to be rethought in the developed world and developing world alike.",Design,The question of design of organizations and institutions is at the heart of the challenge of fragile states - and design as a discipline has a lot to offer.,Conflict Prevention,"Most ""fragile states"" are both poor, and currently in or have recently emerged from conflict. Preventing and resolving conflict are key to establishing stability and prosperity.",International Legal System,The rules for Sovereignty in the 21st century in my view need to be reexamined: this group could tackle this question (I have raised this with some members of this group and it elicited some enthusiasm).,Poverty & Economic Development,"Currently, the ""aid"" system is not aligned to institution-building in fragile states. Reform of approaches to poverty-reduction and economic development are urgently required.",Middle East & North Africa,,Africa,,China,"Given China's key role in Africa, South Asia and South America as investor, its policy stance to fragile states will increasingly be influential and in some cases determinative.",Insurance & Asset Management,,Mining & Metals,,Renewable Energy,
Anti-Corruption,Other,United States of America,Role of Business,"Resulting from the global economic calamity there is a profound lack of trust today in our markets, institutions, organizations and their leaders. Restoring the sacred trust in business must begin with an intolerance to corruption.",Illicit Trade,"The same issues, and in many cases actors, that plague illicit trade and human trafficing are central to the issues of corrurption.",Organized Crime,"The same issues, and in many cases actors, that are concerned about organized crime are central to issues of corruption.",Poverty & Economic Development,Poverty creates an environment fertile for corruption,Institutional Governance Systems,Good governance can contribute to strong anti-corruption measures,Africa,,Latin America,,China,,Mining & Metals,serious issues of corruption,Logistics & Supply Chain,Corruption reside throughout supply chains,,
India,NGO,United States of America,Anti-Corruption,The India Council has decided to focus on this issue for now.,Water Security,I have been informed that this issue has also been identified as a priority,Women’s Empowerment,This is an issue in which I have considerable expertise and it is also very important for the region.,Migration,I believe this is a global issue that is also critical to the region.,,,,,,,,,,,,,,
Urbanization,Government,Mexico,Poverty & Economic Development,,Institutional Governance Systems,,Social Innovation,,Competitiveness,,Employment & Social Protection,,,,,,,,,,,,,
Women’s Empowerment,International Organization,United States of America,Education,"girls education is essential for development of any country and for reducing the risk of a fragile state, environmental degradation and population growth",Competitiveness,Unless women are fully engaged in the economic development and participation in a country the competitiveness of the country is reduced,Human Rights,Women's rights are human rights.  What some call cultural practices that impact women are in fact criminal practices and violations of human rights,Poverty & Economic Development,"Women's entrepreneurship, economic participation are crucial to change the levels of poverty and increase a country's economic development",Values,"How a country empower's its women and provides violence-free living, how it interprets its religious values, how it ensures that women are full actors in society, determines a country's values and its prosperity and security",Middle East & North Africa,"That status of women , per the gender gap reports, is lowest in this region and some of the most unstable, poverty level countries are in this region",India,The education of girls is crucial for population control and economic empowerment,South-East Asia,"Women's involvement in the region can reduce the poverty, increase political stability and ensure full economic growth",Health,"Women's health in certain regions are still substantially below men's resources.  Maternal mortality, infant mortality, fertility rates are all tied to women's health",Banking & Capital Markets,"Women receive substantially less venture capital, access to loans (particularly in agriculture) and are underrepresented in this industry",Renewable Energy,Women are most impacted by environmental and climate change and can be major sources of innovation and implementation of this sector
